Echelon 1;1
Echelon 2;1.15
Echelon 3;1.30
Echelon 4;1.40
Echelon 5;1.50
Echelon 6;1.60
Echelon 7;1.70
Echelon 8;1.80
Echelon 9;1.90
Echelon 10;2
