ORY-JMK;3:15
ORY-JTR;3:20
ORY-KEF;3:25
ORY-KGS;3:20
ORY-KLX;3:05
ORY-LCA;4:00
ORY-LIS;2:35
ORY-LPA;4:15
ORY-MAD;2:00
ORY-MAH;1:45
ORY-MIR;2:30
ORY-NAP;2:10
ORY-NBE;2:25
ORY-NDR;2:50
ORY-OLB;1:55
ORY-OPO;2:10
ORY-ORN;2:30
ORY-OUD;2:35
ORY-PMI;1:50
ORY-PMO;2:20
ORY-PRG;1:45
ORY-PVK;2:50
ORY-RAK;3:15
ORY-RBA;2:45
ORY-RHO;3:35
ORY-SCQ;2:05
ORY-SFA;2:35
ORY-SKG;2:50
ORY-SPU;2:05
ORY-SVQ;2:20
ORY-TFS;4:15
ORY-TIA;2:35
ORY-TIV;2:30
ORY-TLN;1:35
ORY-TLV;4:30
ORY-TNG;2:40
ORY-TUN;2:25
ORY-VCE;1:45
ORY-VIE;2:05
ORY-VLC;1:55
ORY-VOL;2:55
ORY-ZAD;1:55
ORY-ZTH;2:50
OUD-LYS;2:20
OUD-ORY;2:40
PMI-LYS;1:25
PMI-NTE;1:40
PMI-ORY;2:00
PMO-LYS;1:55
PMO-MPL;1:45
PMO-NTE;2:35
PMO-ORY;2:30
PRG-ORY;1:50
PVK-ORY;3:00
RAK-LYS;2:55
RAK-MPL;2:50
RAK-NTE;2:50
RAK-ORY;3:15
RBA-ORY;2:45
RHO-LYS;3:30
RHO-NTE;4:05
RHO-ORY;3:50
RNS-MPL;1:20
SCQ-ORY;1:50
SFA-ORY;2:55
SKG-ORY;3:00
SPU-ORY;2:10
SVQ-LYS;2:05
SVQ-MPL;2:00
SVQ-NTE;1:55
SVQ-ORY;2:20
TFS-ORY;4:00
TIA-ORY;2:40
TIV-ORY;2:30
TLN-BES;1:55
TLN-NTE;1:40
TLN-ORY;1:35
TLS-BES;1:25
TLS-NTE;1:10
TLV-ORY;4:55
TNG-ORY;2:30
TUN-LYS;1:55
TUN-MPL;1:40
TUN-NTE;2:25
TUN-ORY;2:30
VCE-NTE;2:10
VIE-ORY;1:55
VLC-ORY;2:00
VOL-ORY;3:05
ZAD-ORY;1:55
ZTH-ORY;3:15
KRK-ORY;2:10
ORY-KRK;2:05
