ORY-JMK;3:20
ORY-JTR;3:25
ORY-KEF;3:35
ORY-KGS;3:35
ORY-KLX;3:10
ORY-LCA;4:05
ORY-LIS;2:40
ORY-LPA;4:20
ORY-MAD;2:10
ORY-MAH;1:55
ORY-MIR;2:35
ORY-NAP;2:15
ORY-NBE;2:30
ORY-NDR;2:45
ORY-OLB;2:00
ORY-OPO;2:20
ORY-ORN;2:35
ORY-OUD;2:45
ORY-PMI;1:55
ORY-PMO;2:25
ORY-PRG;1:45
ORY-PVK;2:50
ORY-RAK;3:25
ORY-RBA;3:00
ORY-RHO;3:40
ORY-SCQ;2:10
ORY-SFA;2:40
ORY-SKG;2:50
ORY-SPU;2:10
ORY-SVQ;2:25
ORY-TFS;4:20
ORY-TIA;2:35
ORY-TIV;2:30
ORY-TLN;1:35
ORY-TLV;4:45
ORY-TNG;2:50
ORY-TUN;2:30
ORY-VCE;1:45
ORY-VIE;2:05
ORY-VLC;2:00
ORY-VOL;3:05
ORY-ZAD;1:50
ORY-ZTH;3:00
OUD-LYS;2:25
OUD-ORY;2:45
PMI-LYS;1:35
PMI-NTE;1:50
PMI-ORY;2:05
PMO-LYS;2:05
PMO-MPL;1:50
PMO-NTE;2:45
PMO-ORY;2:35
PRG-ORY;1:50
PVK-ORY;3:05
RAK-LYS;3:05
RAK-MPL;2:50
RAK-NTE;3:00
RAK-ORY;3:20
RBA-ORY;2:45
RHO-LYS;3:30
RHO-NTE;4:15
RHO-ORY;4:05
RNS-MPL;1:20
SCQ-ORY;1:50
SFA-ORY;2:50
SKG-ORY;3:10
SPU-ORY;2:15
SVQ-LYS;2:15
SVQ-MPL;2:00
SVQ-NTE;2:00
SVQ-ORY;2:25
TFS-ORY;4:05
TIA-ORY;2:45
TIV-ORY;2:35
TLN-BES;1:55
TLN-NTE;1:40
TLN-ORY;1:35
TLS-BES;1:25
TLS-NTE;1:10
TLV-ORY;5:10
TNG-ORY;2:40
TUN-LYS;2:00
TUN-MPL;1:45
TUN-NTE;2:40
TUN-ORY;2:35
VCE-NTE;2:05
VIE-ORY;2:00
VLC-ORY;2:05
VOL-ORY;3:15
ZAD-ORY;2:00
ZTH-ORY;3:20
KRK-ORY;2:15
ORY-KRK;2:10
